# Simulation report. 
# Date: 1400/03/05 00:33:41
WorldTime,FullStateCount,StatesWithNoTarget,AgentsWithNoTargetState,AllInTargetAgents,InTargetAgentsInThisTime,UpdatedNextStatesOfAgents,SuccessTravelToGoToNeighbor,FailedTravelToGoToNeighbor,RandomTravelToNeighbors,AgentsInPitfall,TotalTravelToNeighbor
231,0,2,0,143,0,0,0,0,0,57,0
232,0,2,0,143,0,0,0,0,0,57,0
233,0,2,0,143,0,0,0,0,0,57,0
234,0,2,0,143,0,0,0,0,0,57,0
235,0,2,0,143,0,0,0,0,0,57,0
236,0,2,0,143,0,0,0,0,0,57,0
237,0,2,0,143,0,0,0,0,0,57,0
238,0,2,0,143,0,0,0,0,0,57,0
239,0,2,0,143,0,0,0,0,0,57,0
240,0,2,0,143,0,0,0,0,0,57,0
241,0,2,0,143,0,0,0,0,0,57,0
242,0,2,0,143,0,0,0,0,0,57,0
243,0,2,0,143,0,0,0,0,0,57,0
244,0,2,0,143,0,0,0,0,0,57,0
245,0,2,0,143,0,0,0,0,0,57,0
246,0,2,0,143,0,0,0,0,0,57,0
247,0,2,0,143,0,0,0,0,0,57,0
248,0,2,0,143,0,0,0,0,0,57,0
249,0,2,0,143,0,0,0,0,0,57,0
250,0,2,0,143,0,0,0,0,0,57,0
251,0,2,0,143,0,0,0,0,0,57,0
252,0,2,0,143,0,0,0,0,0,57,0
253,0,2,0,143,0,0,0,0,0,57,0
254,0,2,0,143,0,0,0,0,0,57,0
255,0,2,0,143,0,0,0,0,0,57,0
256,0,2,0,143,0,0,0,0,0,57,0
257,0,2,0,143,0,0,0,0,0,57,0
258,0,2,0,143,0,0,0,0,0,57,0
259,0,2,0,143,0,0,0,0,0,57,0
260,0,2,0,143,0,0,0,0,0,57,0
261,0,2,0,143,0,0,0,0,0,57,0
262,0,2,0,143,0,0,0,0,0,57,0
263,0,2,0,143,0,0,0,0,0,57,0
264,0,2,0,143,0,0,0,0,0,57,0
265,0,2,0,143,0,0,0,0,0,57,0
266,0,2,0,143,0,0,0,0,0,57,0
267,0,2,0,143,0,0,0,0,0,57,0
268,0,2,0,143,0,0,0,0,0,57,0
269,0,2,0,143,0,0,0,0,0,57,0
270,0,2,0,143,0,0,0,0,0,57,0
271,0,2,0,143,0,0,0,0,0,57,0
272,0,2,0,143,0,0,0,0,0,57,0
273,0,2,0,143,0,0,0,0,0,57,0
274,0,2,0,143,0,0,0,0,0,57,0
275,0,2,0,143,0,0,0,0,0,57,0
276,0,2,0,143,0,0,0,0,0,57,0
277,0,2,0,143,0,0,0,0,0,57,0
278,0,2,0,143,0,0,0,0,0,57,0
279,0,2,0,143,0,0,0,0,0,57,0
280,0,2,0,143,0,0,0,0,0,57,0
281,0,2,0,143,0,0,0,0,0,57,0
282,0,2,0,143,0,0,0,0,0,57,0
283,0,2,0,143,0,0,0,0,0,57,0
284,0,2,0,143,0,0,0,0,0,57,0
285,0,2,0,143,0,0,0,0,0,57,0
286,0,2,0,143,0,0,0,0,0,57,0
287,0,2,0,143,0,0,0,0,0,57,0
288,0,2,0,143,0,0,0,0,0,57,0
289,0,2,0,143,0,0,0,0,0,57,0
290,0,2,0,143,0,0,0,0,0,57,0
291,0,2,0,143,0,0,0,0,0,57,0
292,0,2,0,143,0,0,0,0,0,57,0
293,0,2,0,143,0,0,0,0,0,57,0
294,0,2,0,143,0,0,0,0,0,57,0
295,0,2,0,143,0,0,0,0,0,57,0
296,0,2,0,143,0,0,0,0,0,57,0
297,0,2,0,143,0,0,0,0,0,57,0
298,0,2,0,143,0,0,0,0,0,57,0
299,0,2,0,143,0,0,0,0,0,57,0
300,0,2,0,143,0,0,0,0,0,57,0
301,0,2,0,143,0,0,0,0,0,57,0
302,0,2,0,143,0,0,0,0,0,57,0
303,0,2,0,143,0,0,0,0,0,57,0
304,0,2,0,143,0,0,0,0,0,57,0
305,0,2,0,143,0,0,0,0,0,57,0
306,0,2,0,143,0,0,0,0,0,57,0
307,0,2,0,143,0,0,0,0,0,57,0
308,0,2,0,143,0,0,0,0,0,57,0
309,0,2,0,143,0,0,0,0,0,57,0
310,0,2,0,143,0,0,0,0,0,57,0
311,0,2,0,143,0,0,0,0,0,57,0
312,0,2,0,143,0,0,0,0,0,57,0
313,0,2,0,143,0,0,0,0,0,57,0
314,0,2,0,143,0,0,0,0,0,57,0
315,0,2,0,143,0,0,0,0,0,57,0
316,0,2,0,143,0,0,0,0,0,57,0
317,0,2,0,143,0,0,0,0,0,57,0
318,0,2,0,143,0,0,0,0,0,57,0
319,0,2,0,143,0,0,0,0,0,57,0
320,0,2,0,143,0,0,0,0,0,57,0
321,0,2,0,143,0,0,0,0,0,57,0
322,0,2,0,143,0,0,0,0,0,57,0
323,0,2,0,143,0,0,0,0,0,57,0
324,0,2,0,143,0,0,0,0,0,57,0
325,0,2,0,143,0,0,0,0,0,57,0
326,0,2,0,143,0,0,0,0,0,57,0
327,0,2,0,143,0,0,0,0,0,57,0
328,0,2,0,143,0,0,0,0,0,57,0
329,0,2,0,143,0,0,0,0,0,57,0
330,0,2,0,143,0,0,0,0,0,57,0
331,0,2,0,143,0,0,0,0,0,57,0
332,0,2,0,143,0,0,0,0,0,57,0
333,0,2,0,143,0,0,0,0,0,57,0
334,0,2,0,143,0,0,0,0,0,57,0
335,0,2,0,143,0,0,0,0,0,57,0
336,0,2,0,143,0,0,0,0,0,57,0
337,0,2,0,143,0,0,0,0,0,57,0
338,0,2,0,143,0,0,0,0,0,57,0
339,0,2,0,143,0,0,0,0,0,57,0
340,0,2,0,143,0,0,0,0,0,57,0
341,0,2,0,143,0,0,0,0,0,57,0
342,0,2,0,143,0,0,0,0,0,57,0
343,0,2,0,143,0,0,0,0,0,57,0
344,0,2,0,143,0,0,0,0,0,57,0
345,0,2,0,143,0,0,0,0,0,57,0
346,0,2,0,143,0,0,0,0,0,57,0
347,0,2,0,143,0,0,0,0,0,57,0
348,0,2,0,143,0,0,0,0,0,57,0
349,0,2,0,143,0,0,0,0,0,57,0
350,0,2,0,143,0,0,0,0,0,57,0
351,0,2,0,143,0,0,0,0,0,57,0
352,0,2,0,143,0,0,0,0,0,57,0
353,0,2,0,143,0,0,0,0,0,57,0
354,0,2,0,143,0,0,0,0,0,57,0
355,0,2,0,143,0,0,0,0,0,57,0
356,0,2,0,143,0,0,0,0,0,57,0
357,0,2,0,143,0,0,0,0,0,57,0
358,0,2,0,143,0,0,0,0,0,57,0
359,0,2,0,143,0,0,0,0,0,57,0
360,0,2,0,143,0,0,0,0,0,57,0
361,0,2,0,143,0,0,0,0,0,57,0
362,0,2,0,143,0,0,0,0,0,57,0
363,0,2,0,143,0,0,0,0,0,57,0
364,0,2,0,143,0,0,0,0,0,57,0
365,0,2,0,143,0,0,0,0,0,57,0
366,0,2,0,143,0,0,0,0,0,57,0
367,0,2,0,143,0,0,0,0,0,57,0
368,0,2,0,143,0,0,0,0,0,57,0
369,0,2,0,143,0,0,0,0,0,57,0
370,0,2,0,143,0,0,0,0,0,57,0
371,0,2,0,143,0,0,0,0,0,57,0
372,0,2,0,143,0,0,0,0,0,57,0
373,0,2,0,143,0,0,0,0,0,57,0
374,0,2,0,143,0,0,0,0,0,57,0
375,0,2,0,143,0,0,0,0,0,57,0
376,0,2,0,143,0,0,0,0,0,57,0
377,0,2,0,143,0,0,0,0,0,57,0
378,0,2,0,143,0,0,0,0,0,57,0
379,0,2,0,143,0,0,0,0,0,57,0
380,0,2,0,143,0,0,0,0,0,57,0
381,0,2,0,143,0,0,0,0,0,57,0
382,0,2,0,143,0,0,0,0,0,57,0
383,0,2,0,143,0,0,0,0,0,57,0
384,0,2,0,143,0,0,0,0,0,57,0
385,0,2,0,143,0,0,0,0,0,57,0
386,0,2,0,143,0,0,0,0,0,57,0
387,0,2,0,143,0,0,0,0,0,57,0
388,0,2,0,143,0,0,0,0,0,57,0
389,0,2,0,143,0,0,0,0,0,57,0
390,0,2,0,143,0,0,0,0,0,57,0
391,0,2,0,143,0,0,0,0,0,57,0
392,0,2,0,143,0,0,0,0,0,57,0
393,0,2,0,143,0,0,0,0,0,57,0
394,0,2,0,143,0,0,0,0,0,57,0
395,0,2,0,143,0,0,0,0,0,57,0
396,0,2,0,143,0,0,0,0,0,57,0
397,0,2,0,143,0,0,0,0,0,57,0
398,0,2,0,143,0,0,0,0,0,57,0
399,0,2,0,143,0,0,0,0,0,57,0
400,0,2,0,143,0,0,0,0,0,57,0
401,0,2,0,143,0,0,0,0,0,57,0
402,0,2,0,143,0,0,0,0,0,57,0
403,0,2,0,143,0,0,0,0,0,57,0
404,0,2,0,143,0,0,0,0,0,57,0
405,0,2,0,143,0,0,0,0,0,57,0
406,0,2,0,143,0,0,0,0,0,57,0
407,0,2,0,143,0,0,0,0,0,57,0
408,0,2,0,143,0,0,0,0,0,57,0
409,0,2,0,143,0,0,0,0,0,57,0
410,0,2,0,143,0,0,0,0,0,57,0
411,0,2,0,143,0,0,0,0,0,57,0
412,0,2,0,143,0,0,0,0,0,57,0
413,0,2,0,143,0,0,0,0,0,57,0
414,0,2,0,143,0,0,0,0,0,57,0
415,0,2,0,143,0,0,0,0,0,57,0
416,0,2,0,143,0,0,0,0,0,57,0
417,0,2,0,143,0,0,0,0,0,57,0
418,0,2,0,143,0,0,0,0,0,57,0
419,0,2,0,143,0,0,0,0,0,57,0
420,0,2,0,143,0,0,0,0,0,57,0
421,0,2,0,143,0,0,0,0,0,57,0
422,0,2,0,143,0,0,0,0,0,57,0
423,0,2,0,143,0,0,0,0,0,57,0
424,0,2,0,143,0,0,0,0,0,57,0
425,0,2,0,143,0,0,0,0,0,57,0
426,0,2,0,143,0,0,0,0,0,57,0
427,0,2,0,143,0,0,0,0,0,57,0
428,0,2,0,143,0,0,0,0,0,57,0
429,0,2,0,143,0,0,0,0,0,57,0
430,0,2,0,143,0,0,0,0,0,57,0
431,0,2,0,143,0,0,0,0,0,57,0
432,0,2,0,143,0,0,0,0,0,57,0
433,0,2,0,143,0,0,0,0,0,57,0
434,0,2,0,143,0,0,0,0,0,57,0
435,0,2,0,143,0,0,0,0,0,57,0
436,0,2,0,143,0,0,0,0,0,57,0
437,0,2,0,143,0,0,0,0,0,57,0
438,0,2,0,143,0,0,0,0,0,57,0
439,0,2,0,143,0,0,0,0,0,57,0
440,0,2,0,143,0,0,0,0,0,57,0
441,0,2,0,143,0,0,0,0,0,57,0
442,0,2,0,143,0,0,0,0,0,57,0
443,0,2,0,143,0,0,0,0,0,57,0
444,0,2,0,143,0,0,0,0,0,57,0
445,0,2,0,143,0,0,0,0,0,57,0
446,0,2,0,143,0,0,0,0,0,57,0
447,0,2,0,143,0,0,0,0,0,57,0
448,0,2,0,143,0,0,0,0,0,57,0
449,0,2,0,143,0,0,0,0,0,57,0
450,0,2,0,143,0,0,0,0,0,57,0
451,0,2,0,143,0,0,0,0,0,57,0
452,0,2,0,143,0,0,0,0,0,57,0
453,0,2,0,143,0,0,0,0,0,57,0
454,0,2,0,143,0,0,0,0,0,57,0
455,0,2,0,143,0,0,0,0,0,57,0
456,0,2,0,143,0,0,0,0,0,57,0
457,0,2,0,143,0,0,0,0,0,57,0
458,0,2,0,143,0,0,0,0,0,57,0
459,0,2,0,143,0,0,0,0,0,57,0
460,0,2,0,143,0,0,0,0,0,57,0
461,0,2,0,143,0,0,0,0,0,57,0
462,0,2,0,143,0,0,0,0,0,57,0
463,0,2,0,143,0,0,0,0,0,57,0
464,0,2,0,143,0,0,0,0,0,57,0
465,0,2,0,143,0,0,0,0,0,57,0
466,0,2,0,143,0,0,0,0,0,57,0
467,0,2,0,143,0,0,0,0,0,57,0
468,0,2,0,143,0,0,0,0,0,57,0
469,0,2,0,143,0,0,0,0,0,57,0
470,0,2,0,143,0,0,0,0,0,57,0
471,0,2,0,143,0,0,0,0,0,57,0
472,0,2,0,143,0,0,0,0,0,57,0
473,0,2,0,143,0,0,0,0,0,57,0
474,0,2,0,143,0,0,0,0,0,57,0
475,0,2,0,143,0,0,0,0,0,57,0
476,0,2,0,143,0,0,0,0,0,57,0
477,0,2,0,143,0,0,0,0,0,57,0
478,0,2,0,143,0,0,0,0,0,57,0
479,0,2,0,143,0,0,0,0,0,57,0
480,0,2,0,143,0,0,0,0,0,57,0
481,0,2,0,143,0,0,0,0,0,57,0
482,0,2,0,143,0,0,0,0,0,57,0
483,0,2,0,143,0,0,0,0,0,57,0
484,0,2,0,143,0,0,0,0,0,57,0
485,0,2,0,143,0,0,0,0,0,57,0
486,0,2,0,143,0,0,0,0,0,57,0
487,0,2,0,143,0,0,0,0,0,57,0
488,0,2,0,143,0,0,0,0,0,57,0
489,0,2,0,143,0,0,0,0,0,57,0
490,0,2,0,143,0,0,0,0,0,57,0
491,0,2,0,143,0,0,0,0,0,57,0
492,0,2,0,143,0,0,0,0,0,57,0
493,0,2,0,143,0,0,0,0,0,57,0
494,0,2,0,143,0,0,0,0,0,57,0
495,0,2,0,143,0,0,0,0,0,57,0
496,0,2,0,143,0,0,0,0,0,57,0
497,0,2,0,143,0,0,0,0,0,57,0
498,0,2,0,143,0,0,0,0,0,57,0
499,0,2,0,143,0,0,0,0,0,57,0
500,0,2,0,143,0,0,0,0,0,57,0
501,0,2,0,143,0,0,0,0,0,57,0
502,0,2,0,143,0,0,0,0,0,57,0
503,0,2,0,143,0,0,0,0,0,57,0
504,0,2,0,143,0,0,0,0,0,57,0
505,0,2,0,143,0,0,0,0,0,57,0
506,0,2,0,143,0,0,0,0,0,57,0
507,0,2,0,143,0,0,0,0,0,57,0
508,0,2,0,143,0,0,0,0,0,57,0
509,0,2,0,143,0,0,0,0,0,57,0
510,0,2,0,143,0,0,0,0,0,57,0
511,0,2,0,143,0,0,0,0,0,57,0
512,0,2,0,143,0,0,0,0,0,57,0
513,0,2,0,143,0,0,0,0,0,57,0
514,0,2,0,143,0,0,0,0,0,57,0
515,0,2,0,143,0,0,0,0,0,57,0
516,0,2,0,143,0,0,0,0,0,57,0
517,0,2,0,143,0,0,0,0,0,57,0
518,0,2,0,143,0,0,0,0,0,57,0
519,0,2,0,143,0,0,0,0,0,57,0
520,0,2,0,143,0,0,0,0,0,57,0
521,0,2,0,143,0,0,0,0,0,57,0
522,0,2,0,143,0,0,0,0,0,57,0
523,0,2,0,143,0,0,0,0,0,57,0
524,0,2,0,143,0,0,0,0,0,57,0
525,0,2,0,143,0,0,0,0,0,57,0
526,0,2,0,143,0,0,0,0,0,57,0
527,0,2,0,143,0,0,0,0,0,57,0
528,0,2,0,143,0,0,0,0,0,57,0
529,0,2,0,143,0,0,0,0,0,57,0
530,0,2,0,143,0,0,0,0,0,57,0
531,0,2,0,143,0,0,0,0,0,57,0
532,0,2,0,143,0,0,0,0,0,57,0
533,0,2,0,143,0,0,0,0,0,57,0
534,0,2,0,143,0,0,0,0,0,57,0
535,0,2,0,143,0,0,0,0,0,57,0
536,0,2,0,143,0,0,0,0,0,57,0
537,0,2,0,143,0,0,0,0,0,57,0
538,0,2,0,143,0,0,0,0,0,57,0
539,0,2,0,143,0,0,0,0,0,57,0
540,0,2,0,143,0,0,0,0,0,57,0
541,0,2,0,143,0,0,0,0,0,57,0
542,0,2,0,143,0,0,0,0,0,57,0
543,0,2,0,143,0,0,0,0,0,57,0
544,0,2,0,143,0,0,0,0,0,57,0
545,0,2,0,143,0,0,0,0,0,57,0
546,0,2,0,143,0,0,0,0,0,57,0
547,0,2,0,143,0,0,0,0,0,57,0
548,0,2,0,143,0,0,0,0,0,57,0
549,0,2,0,143,0,0,0,0,0,57,0
550,0,2,0,143,0,0,0,0,0,57,0
551,0,2,0,143,0,0,0,0,0,57,0
552,0,2,0,143,0,0,0,0,0,57,0
553,0,2,0,143,0,0,0,0,0,57,0
554,0,2,0,143,0,0,0,0,0,57,0
555,0,2,0,143,0,0,0,0,0,57,0
556,0,2,0,143,0,0,0,0,0,57,0
557,0,2,0,143,0,0,0,0,0,57,0
558,0,2,0,143,0,0,0,0,0,57,0
559,0,2,0,143,0,0,0,0,0,57,0
560,0,2,0,143,0,0,0,0,0,57,0
561,0,2,0,143,0,0,0,0,0,57,0
562,0,2,0,143,0,0,0,0,0,57,0
563,0,2,0,143,0,0,0,0,0,57,0
564,0,2,0,143,0,0,0,0,0,57,0
565,0,2,0,143,0,0,0,0,0,57,0
566,0,2,0,143,0,0,0,0,0,57,0
567,0,2,0,143,0,0,0,0,0,57,0
